from,to,relationship,year
fb,mw,1,2017
fb,dfpv,2,2017
fb,ep,2,2009
fb,bt,2,2013
fb,gruene,2,2013
fb,kp,2,2014
fb,gruene,2,2017
fb,ac,6,2006
fb,unifem,3,2013
fb,ec,3,2013
fb,bs,3,2013
fb,gruene,2,1996
fb,gruene,2,1999
fb,fra,2,2013
fb,aau,2,2013
fb,eua,2,2013
fb,bgc,2,2013
fb,age,2,2013
fb,jdc,4,2013
fb,zif,4,2013
fb,bsmk,3,2013
fb,ae,3,2013
fb,um,6,2010
fb,yc,2,2000
fb,fsk,2,2009
fb,sa,2,2009
fb,fra,2,2009
fb,ha,2,2009
fb,eppsp,2,2009
fb,sgi,3,2010
fb,hbs,3,kA
fb,epc,2,2021
fb,aca,3,2021
fb,zif,3,2021
fb,vdf,3,2021
fb,twfe,3,2020
fb,iep,2,2020
fb,ebd,3,2020
fb,abhia,3,2017
fb,botfoe,3,2017
fb,dfi,3,2017
fb,aau,2,2017
fb,vhspp,7,kA
fb,sipa,7,2004
fb,um,7,2010
ft,mf,1,2017
rss,mi,1,2017
ft,ua,2,2017
ft,fia,2,2017
ft,ar,2,2017
ft,ga,2,2017
ft,aih,2,2017
ft,wa,2,2017
ft,va,2,2017
ft,awig,2,2017
ft,fbl,6,2017
ft,ass,4,2017
ft,arbf,4,2017
ft,kfw,3,2017
ft,vwr,3,2017
ft,gzs,3,2017
ft,bfi,3,2017
ft,stv,3,2017
ft,gwd,6,1999
ft,bvfdp,2,2003
ft,lfa,2,kA
ft,mdb,2,2005
ft,fmg,2,2005
ft,fvs,2,2011
ft,fdp,2,2017
ft,ur,7,2000
ft,uc,7,2000
ft,uh,7,2000
ft,ut,7,2012
ft,fmg,2,2005
ft,haupta,2,2009
ft,fvs,2,2011
ft,fdp,2,2017
ft,ur,7,2000
ft,uc,7,2000
ft,uh,7,2000
ft,ut,7,2000
ft,fdp,2,1998
ft,fdpb,2,2003
ft,juli,2,2006
ft,kboe,3,2008
ft,krboe,3,2009
ft,fdpbw,2,2011
ft,fdp,2,2005
ft,fdp,2,2017
ft,rwas,3,2020
ft,vdfg,3,kA
ft,sca,3,kA
ft,litg,3,kA
ft,dlrg,3,kA
ft,dag,3,kA
ft,dig,3,kA
ft,helpev,3,kA
ft,avr,3,kA
ft,vdfr,3,kA
ft,haupta,2,2009
ft,awig,2,2009
ft,fia,2,2009
ft,reaus,2,2009
ft,parlbei,2,2009
ft,fmg,2,2009
ft,stabmechg,2,2009
ft,paramount,4,2009
ft,flug,3,2009
ft,muell,3,2009
ft,bsmk,3,2009
ft,ths,3,2009
ft,haupta,2,2021
rss,uf,7,1983
rss,uz,7,1989
rss,marka,6,1992
rss,krz,6,1997
rss,mdb,2,2005
rss,mu,2,2013
rss,spd,2,1994
rss,spdk,2,2001
rss,grlauch,2,1999
rss,regiov,3,2009
rss,kwa,3,2004
rss,lvspd,2,2007
rss,verdi,3,2009
rss,vergessen,3,2009
rss,eurosol,3,2009
rss,klar,3,2009
rss,hospiz,3,2009
rss,mu,3,2017
rss,uf,3,2009
rss,kfw,3,2009
rss,grs,4,2009
rss,dbu,3,2009
rss,wspd,3,2009
rss,awo,3,2009
rss,asf,2,1999
rss,awut,2,2009
rss,vea,2,2009
tl,aa,1,2017
tl,unikarl,7,2002
tl,lfu,6,2001
tl,unikarl,6,2017
tl,lgj,2,2000
tl,kvg,2,2002
tl,svw,2,2004
tl,ktg,2,2007
tl,srw,2,2009
tl,ktg,2,2009
tl,mdb,2,2011
tl,lgb,2,2011
tl,gruene,2,2019
tl,verta,2,2019
tl,ha,2,2019
tl,rpa,2,2019
tl,ga,2,2019
tl,vg,2,2019
tl,pvnato,2,2019
tl,ha,2,2013
tl,verta,2,2013
tl,diparl,2,2009
tl,lgb,2,2009
tl,gruenerp,2,2009
tl,awut,2,2009
tl,rb,6,2018
tl,hs,6,2009
tl,eow,3,2017
tl,bfia,4,2017
tl,eud,4,2017
tl,gruene,2,1998
tl,lgj,2,1999
tl,kmgh,4,kA
tl,zva,4,2009
tl,aif,3,2017
tl,dgf,3,2021
tl,difg,3,2017
tl,gh,3,2018
bs,mj,1,2017
bs,juli,2,2005
bs,unikon,7,2006
bs,lgs,7,2012
bs,nsuu,2,2014
bs,julibw,2,2010
bs,fdp,2,2006
bs,fdpr,2,2011
bs,fdpbw,2,2013
bs,fdpr,2,2014
bs,gmb,2,2014
bs,ktr,2,2019
bs,aih,2,2017
bs,zfg,2,2017
bs,lhp,6,2017
bs,gmb,2,2018
bs,bmv,3,2019
bs,zfs,4,2018
bs,amnesty,3,kA
bs,brb,3,kA
bs,cpp,3,kA
co,me,1,2017
mat,mv,1,2017
co,bt,1,1994
co,bt,1,2013
co,ep,2,2004
co,gruene,2,1981
co,me,1,2021
co,aau,2,2013
co,ub,6,2021
co,csl,4,2018
co,dr,4,2019
co,ey,4,2018
co,im,4,2020
co,siaf,4,2020
co,tn,4,2018
co,tlsb,4,2019
co,sefep,3,2017
co,dsi,4,2017
co,start,4,2017
co,ifm,3,2017
co,iff,3,2017
co,ajc,3,2013
co,ai,3,2017
co,as,3,2013
co,bvmw,3,2013
co,dpz,3,2017
co,dtf,3,2013
co,fc,3,2017
co,gzs,3,2017
co,hbs,3,2017
co,ikw,3,2013
co,sgf,3,2017
co,stv,3,2013
co,sbe,3,2017
co,ths,3,2013
co,tdp,3,2013
co,wwl,3,2017
co,vea,2,2017
co,ev,7,kA
co,zdf,3,2013
co,awut,2,2013
co,bvgr,2,2008
co,lvbw,2,1989
mat,ut,7,1990
mat,fdp,2,1983
mat,ep,2,2009
mat,hka,2,2011
mat,vrn,2,2004
mat,rms,3,2017
mat,ths,3,2017
mat,wds,3,2017
mat,dhbw,6,2017
mat,bt,1,2017
mat,sdv,1,2017
mat,awut,2,2017
mat,ga,2,2017
mat,aas,2,2017
mat,aut,2,2017
mat,aug,2,2017
mat,iks,2,2017
mat,sefep,3,2017
mat,cnc,4,2017
mat,leuco,4,2017
mat,kfw,3,2020
mat,ksk,3,2017
mat,lb,3,2017
mat,bb,3,2017
mat,dk,3,2017
mat,idi,3,2017
mat,wcd,3,2017
mat,twf,4,2017
mat,horb,2,1995
mat,juli,2,1991
mat,fdpbw,2,1991
mat,fdpbw,2,1999
mat,fdpbw,2,2013
mat,ltbw,2,2001
mat,bvfdp,2,2003
mat,psfdp,2,2013
jb,mb,1,2017
ck,mu,1,2017
ck,bauwo,2,2017
ck,bt,2,2021
ck,reaus,2,2013
ck,ha,2,2017
ck,umaus,2,2013
ck,ut,7,2009
ck,hermann,6,2009
ck,wiwitueb,6,2010
ck,gruene,2,1998
ck,kvgruene,2,2002
ck,lvbw,2,2007
ck,koaaus,2,2011
ck,mu,1,2021
ck,baukultur,3,2021
ck,deneff,3,2021
ck,prosb,3,2017
ck,verbwohn,3,2018
ck,kuaus,2,2013
ck,vea,2,2013
ck,mdb,2,2013
jb,mb,1,2017
jb,um,7,2010
jb,gsess,7,2014
jb,juli,2,2010
jb,hirschfeld,3,2018
jb,aids,3,2019
jb,bt,2,2017
jb,fdp,2,2017
jb,bildaus,2,2017
jb,mb,2,2021
jb,ecoclub,3,2021
jb,privaths,3,2021
jb,libsl,3,2021
jb,studiw,3,2021
jb,fdp,2,2006